Location,Key,Value,State,FactSource
Red Banks,Electorate,Grey,SA 
Highland Valley,Electorate,Mayo,SA 
Battersea Park,Electorate,Port Adelaide,SA 
ULLSWATER,Electorate,Mallee,VIC 
MUNDULLA,Electorate,Barker,GA 
Springfield,Electorate,Adelaide,SA 
Horncastle,Electorate,Port Adelaide,SA 
Goodwood West,Electorate,Port Adelaide,SA 
Hatherley,Electorate,Hindmarsh,SA 
Parrawe,Electorate,Braddon,TAS 
Galway,Electorate,Adelaide,SA 
Waroona,Electorate,Canning,WA 
Meldreth Park,Electorate,Hindmarsh,SA 
Heathfield,Electorate,Boothby,SA 
Cowandilla,Electorate,Port Adelaide,SA 
Heatherfield,Electorate,Boothby,SA 
Martins Camp,Electorate,Barker,SA 
BOOROOPKI,Electorate,Mallee,VIC 
Etmilyn,Electorate,Canning,WA 
Ellenville,Electorate,Port Adelaide,SA 
Hilton Estate,Electorate,Port Adelaide,SA 
Woodhurst,Electorate,Hindmarsh,SA 
Lockleys Estate,Electorate,Hindmarsh,SA 
Hyde Park Estate,Electorate,Hindmarsh,SA 
Keswick,Electorate,Port Adelaide,SA 
Craigholme,Electorate,Port Adelaide,SA 
Lune River,Electorate,Franklin,TAS 
Kidman Park,Electorate,Hindmarsh,SA 
Netherby,Electorate,Adelaide,SA 
Lune River,Electorate,Franklin,AHO 
Goodwood,Electorate,Port Adelaide,SA 
Warwick Estate,Electorate,Hindmarsh,SA 
Hyde Park,Electorate,Hindmarsh,SA 
West Hilton,Electorate,Port Adelaide,SA 
Cocata,Electorate,Grey,SA 
Naremup,Electorate,O'Connor,WA 
Cowandillah,Electorate,Port Adelaide,SA 
Osborne Park,Electorate,Hindmarsh,SA 
Denford,Electorate,Port Adelaide,SA 
South Malvern,Electorate,Hindmarsh,SA 
West Underdale,Electorate,Hindmarsh,SA 
Parkville,Electorate,Hindmarsh,SA 
Plympton Gardens,Electorate,Hindmarsh,SA 
Olive Estate,Electorate,Hindmarsh,SA 
New Mile End,Electorate,Port Adelaide,SA 
Netherby Estate,Electorate,Adelaide,SA 
Brown Hill Creek,Electorate,Adelaide,SA 
Mile End South,Electorate,Port Adelaide,SA 
West Malvern,Electorate,Hindmarsh,SA 
Hilton,Electorate,Port Adelaide,SA 
Inglehope,Electorate,Canning,WA 
Boonerdo,Electorate,Grey,SA 
Wayville West,Electorate,Port Adelaide,SA 
New Mitcham,Electorate,Hindmarsh,SA 
Malvern,Electorate,Hindmarsh,SA 
Hiltonia,Electorate,Port Adelaide,SA 
LAVERS HILL,Electorate,Corangamite,VIC 
Babakin,Electorate,O'Connor,WA 
Underdale,Electorate,Hindmarsh,SA 
Wayville,Electorate,Port Adelaide,SA 
BALMORAL (COMMUNITY COLLEGE CAR PARK) NEIGHBOURHOOD SAFER PLACE,Electorate,Wannon,VIC 
Nalya,Electorate,O'Connor,WA 
Highgate-On-The-Hill,Electorate,Adelaide,SA 
Highgate,Electorate,Adelaide,SA 
Grey,Electorate,Port Adelaide,SA 
KEITH,Electorate,Barker,GA 
Rosefield,Electorate,Hindmarsh,SA 
Malvern North,Electorate,Port Adelaide,SA 
Keswick Terminal,Electorate,Port Adelaide,SA 
Mylor,Electorate,Mayo,SA 
Mylor,Electorate,Mayo,SA 
Urrbrae Park,Electorate,Adelaide,SA 
Mawbanna,Electorate,Braddon,TAS 
HEXHAM,Electorate,Wannon,VIC 
Fremanton,Electorate,Port Adelaide,SA 
Waverley,Electorate,Sturt,SA 
Keith,Electorate,Barker,SA 
Keith,Electorate,Barker,SA 
Crafers West,Electorate,Sturt,SA 
Malvern Extension,Electorate,Port Adelaide,SA 
Guildford,Electorate,Braddon,TAS 
Nichols Junction,Electorate,Braddon,TAS 
Findon South,Electorate,Hindmarsh,SA 
Johnston,Electorate,Port Adelaide,SA 
Florentine,Electorate,Lyons,TAS 
Mile End Estate,Electorate,Port Adelaide,SA 
Unley,Electorate,Port Adelaide,SA 
Dwellingerup,Electorate,Canning,WA 
Crafers Summit,Electorate,Sturt,SA 
West Adelaide,Electorate,Port Adelaide,SA 
Urrbrae,Electorate,Adelaide,SA 
TINTINARA,Electorate,Barker,GA 
New Thebarton Extension,Electorate,Port Adelaide,SA 
Hartley,Electorate,Mayo,SA 
Nine Mile Turn Off,Electorate,Barker,SA 
Crafers Springs,Electorate,Sturt,SA 
Flinders Park,Electorate,Hindmarsh,SA 
Mile End,Electorate,Port Adelaide,SA 
BALMORAL (MEMORIAL HALL AND BOWLS CLUB GROUNDS) NEIGHBOURHOOD SAFER PLACE,Electorate,Wannon,VIC 
New Thebarton,Electorate,Port Adelaide,SA 
Myrtle Park,Electorate,Adelaide,SA 
Tintinara,Electorate,Barker,SA 
Tintinara,Electorate,Barker,SA 
Torrensville,Electorate,Port Adelaide,SA 
Zion Hill,Electorate,Mayo,SA 
Cross Fell,Electorate,Sturt,SA 
WOMBELANO,Electorate,Mallee,VIC 
Sunnymeade,Electorate,Adelaide,SA 
Woodfield,Electorate,Adelaide,SA 
New Parkside,Electorate,Port Adelaide,SA 
Koongarra Park,Electorate,Port Adelaide,SA 
St Albans,Electorate,Port Adelaide,SA 
Findon,Electorate,Port Adelaide,SA 
North Unley,Electorate,Port Adelaide,SA 
Fullarton Gardens,Electorate,Adelaide,SA 
Myrtle Bank,Electorate,Adelaide,SA 
Crafers Park,Electorate,Sturt,SA 
Adelaide West,Electorate,Port Adelaide,SA 
Aldgate Park,Electorate,Sturt,SA 
Montrose,Electorate,Sturt,SA 
Torrensville Estate,Electorate,Port Adelaide,SA 
Ridge Park Estate,Electorate,Adelaide,SA 
Fullarton,Electorate,Adelaide,SA 
Hawks Nest,Electorate,Barker,SA 
Hawksnest,Electorate,Barker,SA 
Hemington West,Electorate,Port Adelaide,SA 
Flinders Park East,Electorate,Hindmarsh,SA 
Hordern Vale,Electorate,Corangamite,AHO 
Tallala,Electorate,Adelaide,SA 
Parkside South,Electorate,Adelaide,SA 
Mount Lofty Crest,Electorate,Sturt,SA 
West Takone,Electorate,Braddon,TAS 
Wistow,Electorate,Mayo,SA 
Ridge Park,Electorate,Adelaide,SA 
Friedrichstadt,Electorate,Mayo,SA 
Tangari,Electorate,Mayo,SA 
Fryatt,Electorate,Mayo,SA 
Culburra,Electorate,Barker,SA 
Mulgundawa,Electorate,Mayo,SA 
Brimbago,Electorate,Barker,SA 
Washington Gardens,Electorate,Adelaide,SA 
Aero Park,Electorate,Port Adelaide,SA 
Spenderville,Electorate,Port Adelaide,SA 
Stanley,Electorate,Adelaide,SA 
Paringaville,Electorate,Adelaide,SA 
Crafers Town,Electorate,Sturt,SA 
Fullarton Estate Homestead,Electorate,Adelaide,SA 
Braemar,Electorate,Sturt,SA 
Marrarup,Electorate,Canning,WA 
Rocky Corner,Electorate,Grey,SA 
West Thebarton,Electorate,Port Adelaide,SA 
Thebarton West,Electorate,Port Adelaide,SA 
Henley Park,Electorate,Port Adelaide,SA 
Kenilworth,Electorate,Port Adelaide,SA 
Adamsvale,Electorate,O'Connor,WA 
Parkside,Electorate,Port Adelaide,SA 
Hemington,Electorate,Port Adelaide,SA 
Crafers Interchange,Electorate,Sturt,SA 
South Parkside,Electorate,Port Adelaide,SA 
Fisher Park,Electorate,Adelaide,SA 
Milford Estate,Electorate,Sturt,SA 
Dwellingup,Electorate,Canning,WA 
JANCOURT,Electorate,Wannon,VIC 
STIRLING,Electorate,Mayo,GA 
Pooginagoric,Electorate,Barker,SA 
Pooginorick,Electorate,Barker,SA 
Stirling West,Electorate,Sturt,SA 
Viewbank,Electorate,Adelaide,SA 
Fullarton Estate,Electorate,Adelaide,SA 
Purley Estate,Electorate,Adelaide,SA 
Benacre,Electorate,Adelaide,SA 
Eagle On The Hill,Electorate,Adelaide,SA 
West Welland,Electorate,Port Adelaide,SA 
Glenunga Park,Electorate,Adelaide,SA 
Glenunga Central,Electorate,Adelaide,SA 
Millbrook,Electorate,Adelaide,SA 
COBRICO,Electorate,Wannon,VIC 
Aldgate,Electorate,Mayo,SA 
Welland South,Electorate,Port Adelaide,SA 
Stirling Interchange,Electorate,Sturt,SA 
Woodville Grove,Electorate,Port Adelaide,SA 
Thebarton,Electorate,Port Adelaide,SA 
Fern Hill,Electorate,Sturt,SA 
Hastings,Electorate,Franklin,TAS 
SAINT EVINS,Electorate,Mallee,VIC 
Dawson Settlement,Electorate,Lyons,TAS 
Butlers Gorge,Electorate,Lyons,TAS 
Mount Lofty,Electorate,Sturt,SA 
DUNKELD,Electorate,Wannon,VIC 
Woodley,Electorate,Adelaide,SA 
Malinong,Electorate,Barker,SA 
Glen Osmond,Electorate,Adelaide,SA 
Lake St Clair,Electorate,Lyons,TAS 
Red Creek,Electorate,Mayo,SA 
Stirling East,Electorate,Mayo,SA 
Woodley Park,Electorate,Adelaide,SA 
Woodley Estate,Electorate,Adelaide,SA 
Nalpa,Electorate,Barker,SA 
Woodbury,Electorate,Sturt,SA 
Southwark,Electorate,Port Adelaide,SA 
ADELAIDE,Electorate,Port Adelaide,GA 
Eastwood Extension,Electorate,Adelaide,SA 
Eastwood,Electorate,Adelaide,SA 
Frewville,Electorate,Adelaide,SA 
Torrenside,Electorate,Port Adelaide,SA 
Leawood Gardens,Electorate,Adelaide,SA 
Frewville East,Electorate,Adelaide,SA 
MINIMAY,Electorate,Mallee,VIC 
Caversham,Electorate,Port Adelaide,SA 
Mount Osmond Heights,Electorate,Adelaide,SA 
Mount Osmond,Electorate,Adelaide,SA 
Klenke,Electorate,Mayo,SA 
Adelaide,Electorate,Port Adelaide,AHO 
Adelaide,Electorate,Port Adelaide,SA 
Adelaide,Electorate,Port Adelaide,SA 
New Hindmarsh,Electorate,Port Adelaide,SA 
Audley Estate,Electorate,Port Adelaide,SA 
Welland,Electorate,Port Adelaide,SA 
Allenby Gardens,Electorate,Port Adelaide,SA 
Frewville Estate,Electorate,Adelaide,SA 
Meunna,Electorate,Braddon,TAS 
Fairbanks Estate,Electorate,Port Adelaide,SA 
York,Electorate,Port Adelaide,SA 
Glenunga,Electorate,Adelaide,SA 
Lancaster,Electorate,Port Adelaide,SA 
Beverley,Electorate,Port Adelaide,SA 
West Hindmarsh,Electorate,Port Adelaide,SA 
Woodlands,Electorate,Port Adelaide,SA 
Stirling,Electorate,Mayo,SA 
Mylunga,Electorate,Barker,SA 
Sunnyside South,Electorate,Adelaide,SA 
Woodville South,Electorate,Port Adelaide,SA 
BALMORAL,Electorate,Mallee,VIC 
Rudall,Electorate,Grey,SA 
Rudall,Electorate,Grey,SA 
Weam,Electorate,O'Connor,WA 
Aldgate North,Electorate,Mayo,SA 
Duncan,Electorate,Canning,WA 
STALKER,Electorate,Corangamite,VIC 
Kilroo,Electorate,Grey,SA 
Hastings,Electorate,Franklin,AHO 
Beverley Estate,Electorate,Port Adelaide,SA 
Hindmarsh,Electorate,Port Adelaide,SA 
Glenunga Gardens,Electorate,Adelaide,SA 
Warrimoo,Electorate,Adelaide,SA 
St Georges,Electorate,Adelaide,SA 
Glenunga Gardens Extension,Electorate,Adelaide,SA 
Waterhouse Corner,Electorate,Port Adelaide,SA 
East Stirling,Electorate,Mayo,SA 
Babakin,Electorate,O'Connor,WA 
Glenside,Electorate,Adelaide,SA 
MORTLAKE,Electorate,Wannon,GA 
Ascot Vale,Electorate,Adelaide,SA 
Victoria Park,Electorate,Adelaide,SA 
Knoxville,Electorate,Adelaide,SA 
MORTLAKE (MARKET SQUARE) NEIGHBOURHOOD SAFER PLACE,Electorate,Wannon,VIC 
Mount Lofty West,Electorate,Sturt,SA 
Mount Lofty Park,Electorate,Sturt,SA 
Springs,Electorate,O'Connor,WA 
Black River,Electorate,Braddon,TAS 
Dulwich Park,Electorate,Adelaide,SA 
Highfield,Electorate,Adelaide,SA 
Mount Cooper,Electorate,Grey,SA 
NOORAT,Electorate,Wannon,VIC 
NOORAT,Electorate,Wannon,GA 
Mount Barker South,Electorate,Mayo,SA 
Tarndanya,Electorate,Port Adelaide,SA 
Mount Damper,Electorate,Grey,SA 
Crafers,Electorate,Sturt,SA 
Mount Lofty Summit,Electorate,Sturt,SA 
Myarin,Electorate,O'Connor,WA 
Cox Creek,Electorate,Mayo,SA 
Sunnyside,Electorate,Adelaide,SA 
Dulwich,Electorate,Adelaide,SA 
CHARAM,Electorate,Mallee,VIC 
GLENAIRE,Electorate,Corangamite,VIC 
DUNKELD (ANGLICAN CHURCH GROUNDS) NEIGHBOURHOOD SAFER PLACE,Electorate,Wannon,VIC 
MORTLAKE,Electorate,Wannon,VIC 
Elgin,Electorate,Port Adelaide,SA 
Lake Clifton,Electorate,Canning,WA 
COBDEN,Electorate,Wannon,GA 
Linden Gardens,Electorate,Adelaide,SA 
Warawurlie,Electorate,Grey,SA 
Waterfall Gully,Electorate,Adelaide,SA 
MOUNT BARKER,Electorate,Mayo,GA 
SIMPSON,Electorate,Wannon,VIC 
OZENKADNOOK,Electorate,Mallee,VIC 
DUNKELD,Electorate,Wannon,GA 
Mount Lofty Obelisk Estate,Electorate,Sturt,SA 
Carripook,Electorate,Mayo,SA 
Woodville,Electorate,Port Adelaide,SA 
Linden Park,Electorate,Adelaide,SA 
Paechtown,Electorate,Mayo,SA 
Croydon,Electorate,Port Adelaide,SA 
Ridleyton North,Electorate,Port Adelaide,SA 
Beaumont,Electorate,Adelaide,SA 
North Croydon Extension,Electorate,Port Adelaide,SA 
Croydon Extension,Electorate,Port Adelaide,SA 
North Croydon,Electorate,Port Adelaide,SA 
Bowden,Electorate,Port Adelaide,SA 
Woodville Park,Electorate,Port Adelaide,SA 
Rose Park,Electorate,Adelaide,SA 
