Location,Key,Value,State,FactSource
Wilbetree,Electorate,Parkes,NSW 
Denistone,Electorate,Berowra,NSW 
Eveleigh,Electorate,Reid,NSW 
GILGANDRA,Electorate,Parkes,GA 
Hugh,Electorate,Lingiari,NT 
Henley,Electorate,Bennelong,NSW 
Drummoyne,Electorate,Bennelong,NSW 
Rogans Hill,Electorate,Berowra,NSW 
Great Western Highway,Electorate,North Sydney,AHO 
Fitzgerald Avenue,Electorate,Sydney,AHO 
Gladesville,Electorate,Bennelong,AHO 
Forest Lodge,Electorate,North Sydney,NSW 
Scheyville,Electorate,Macquarie,NSW 
Zetland,Electorate,Reid,NSW 
Budgee Budgee,Electorate,Parkes,NSW 
Kensington,Electorate,Sydney,AHO 
WILBERFORCE,Electorate,Macquarie,GA 
Kingsford,Electorate,Sydney,NSW 
Eastwood,Electorate,Berowra,NSW 
Darlington,Electorate,Reid,NSW 
Huntleys Cove,Electorate,Bennelong,NSW 
Gladesville,Electorate,Bennelong,NSW 
Carlingford North,Electorate,Mitchell,NSW 
Maroubra,Electorate,Sydney,AHO 
Glebe,Electorate,North Sydney,NSW 
Wilberforce,Electorate,Macquarie,NSW 
Breelong,Electorate,Parkes,NSW 
Glebe Island,Electorate,Bennelong,NSW 
Drummoyne,Electorate,Bennelong,AHO 
Denistone East,Electorate,Berowra,NSW 
City West Link Road,Electorate,Bennelong,AHO 
Bourke Town,Electorate,Bennelong,NSW 
Princes Highway,Electorate,North Sydney,AHO 
Carlgandra,Electorate,Parkes,NSW 
Gilgandra,Electorate,Parkes,NSW 
Waterloo,Electorate,Reid,NSW 
Felixstow Gardens,Electorate,Port Adelaide,SA 
Strathblane,Electorate,Franklin,AHO 
Northam,Electorate,Port Adelaide,SA 
Mount Field,Electorate,Lyons,TAS 
Northfield Extension,Electorate,Port Adelaide,SA 
Barton Vale,Electorate,Port Adelaide,SA 
Border Town Grange,Electorate,Barker,SA 
Cradle Mountain,Electorate,Lyons,TAS 
Woodforde Estate,Electorate,Adelaide,SA 
Companys Section,Electorate,Adelaide,SA 
Finchley Park,Electorate,Adelaide,SA 
Brooklyn,Electorate,Port Adelaide,SA 
Milabena,Electorate,Braddon,TAS 
Tarkeerip,Electorate,Barker,SA 
Raminea,Electorate,Franklin,TAS 
Grand Junction,Electorate,Port Adelaide,SA 
Rayleigh Town,Electorate,Port Adelaide,SA 
Hampstead North,Electorate,Port Adelaide,SA 
Enfield,Electorate,Port Adelaide,SA 
Poor Man's Section,Electorate,Port Adelaide,SA 
North Payneham,Electorate,Port Adelaide,SA 
Hampstead Gardens,Electorate,Port Adelaide,SA 
Hectorville Gardens,Electorate,Port Adelaide,SA 
Fitzgerald,Electorate,Lyons,TAS 
Ashton,Electorate,Sturt,SA 
Kobandilla,Electorate,Port Adelaide,SA 
BOSTOCKS CREEK,Electorate,Wannon,VIC 
CHATSWORTH,Electorate,Wannon,VIC 
Warkowodliwodli,Electorate,Port Adelaide,SA 
KINCAID,Electorate,Corangamite,VIC 
Yaralin,Electorate,Port Adelaide,SA 
Klemzig,Electorate,Port Adelaide,SA 
Gaza,Electorate,Port Adelaide,SA 
Coolup,Electorate,Canning,WA 
BALHANNAH,Electorate,Mayo,GA 
Rayleigh Town,Electorate,Port Adelaide,SA 
Bosworth Park,Electorate,Port Adelaide,SA 
Teringie Heights,Electorate,Sturt,SA 
Border Town Extension,Electorate,Barker,SA 
Cullford,Electorate,Port Adelaide,SA 
Strathblane,Electorate,Franklin,TAS 
Hectorville,Electorate,Port Adelaide,SA 
DOUGLAS,Electorate,Mallee,VIC 
Pencil Pine,Electorate,Lyons,TAS 
Parara,Electorate,Grey,AHO 
Parara,Electorate,Grey,SA 
Perara,Electorate,Grey,SA 
Balhannah,Electorate,Mayo,SA 
West Nairne,Electorate,Mayo,SA 
Gilleston,Electorate,Mayo,SA 
Teringie,Electorate,Sturt,SA 
Gilburn,Electorate,Sturt,SA 
St Bernards Road Estate,Electorate,Makin,SA 
East Marden,Electorate,Port Adelaide,SA 
Marden East,Electorate,Port Adelaide,SA 
Enfield Extension,Electorate,Port Adelaide,SA 
St Bernards,Electorate,Makin,SA 
CALLINGTON,Electorate,Mayo,GA 
Greenacres,Electorate,Port Adelaide,SA 
Callington,Electorate,Mayo,SA 
Ardath,Electorate,O'Connor,WA 
Burford Gardens,Electorate,Port Adelaide,SA 
New Woodroofe,Electorate,Sturt,SA 
East Callington,Electorate,Mayo,SA 
Woodforde Heights,Electorate,Sturt,SA 
Clearview,Electorate,Port Adelaide,SA 
East Campbelltown,Electorate,Port Adelaide,SA 
Greenacres Estate,Electorate,Port Adelaide,SA 
Border Town East,Electorate,Barker,SA 
Brinkley,Electorate,Barker,SA 
Norton Summit,Electorate,Sturt,SA 
CAPE HORN,Electorate,Corangamite,VIC 
Byethorne,Electorate,Mayo,SA 
Wellington,Electorate,Barker,SA 
Wellington,Electorate,Barker,SA 
Nairne,Electorate,Mayo,SA 
Rostrevor North,Electorate,Makin,SA 
Creekancoona,Electorate,Barker,SA 
Morphett Crossing,Electorate,Barker,SA 
NAIRNE,Electorate,Mayo,GA 
Brynn Estate,Electorate,Makin,SA 
Campbelltown,Electorate,Port Adelaide,SA 
Charlesworth Park,Electorate,Port Adelaide,SA 
Ashby,Electorate,Port Adelaide,SA 
Oldfield,Electorate,Makin,SA 
West Coolup,Electorate,Canning,WA 
Wellesley Avenue,Electorate,Port Adelaide,SA 
Montague,Electorate,Port Adelaide,SA 
PILE SIDING,Electorate,Corangamite,VIC 
Takone,Electorate,Braddon,TAS 
JANCOURT EAST,Electorate,Wannon,VIC 
Stradbroke,Electorate,Sturt,SA 
Meadowside Estate,Electorate,Port Adelaide,SA 
Pretty Corner,Electorate,Sturt,SA 
Basket Range,Electorate,Mayo,SA 
MOREA,Electorate,Mallee,VIC 
Geeveston,Electorate,Franklin,TAS 
KANGAWALL,Electorate,Mallee,VIC 
Ardath,Electorate,O'Connor,WA 
Northgate,Electorate,Port Adelaide,SA 
Woodforde,Electorate,Sturt,SA 
KARNAK,Electorate,Mallee,VIC 
Morialta,Electorate,Sturt,SA 
Gepps Cross,Electorate,Port Adelaide,SA 
GLENORMISTON NORTH,Electorate,Wannon,VIC 
Rostrevor,Electorate,Makin,SA 
Northfield,Electorate,Port Adelaide,SA 
Windsor,Electorate,Port Adelaide,SA 
Oakbank,Electorate,Mayo,SA 
Rostrevor Park,Electorate,Makin,SA 
Marrinup,Electorate,Canning,WA 
Hillcrest,Electorate,Port Adelaide,SA 
Silo Road,Electorate,Grey,AHO 
OAKBANK,Electorate,Mayo,GA 
Stradbroke Estate,Electorate,Makin,SA 
CARPENDEIT,Electorate,Wannon,VIC 
Kielpa,Electorate,Grey,SA 
Kielpa,Electorate,Grey,SA 
Hoadville,Electorate,Barker,SA 
Newland Park,Electorate,Makin,SA 
Windsor Gardens,Electorate,Port Adelaide,SA 
SOUTH PURRUMBETE,Electorate,Wannon,VIC 
FERGUSONS,Electorate,Wannon,VIC 
Newton Park,Electorate,Makin,SA 
The Buchal,Electorate,Makin,SA 
Sydenham,Electorate,Port Adelaide,SA 
Hillcrest Gardens,Electorate,Port Adelaide,SA 
Newton,Electorate,Makin,SA 
Inkster,Electorate,Grey,SA 
East Wellington,Electorate,Barker,SA 
Wellington East,Electorate,Barker,SA 
Rostrevor Park North,Electorate,Makin,SA 
Hay Valley,Electorate,Mayo,SA 
Dawesley,Electorate,Mayo,SA 
KANAGULK,Electorate,Mallee,VIC 
WEEAPROINAH,Electorate,Corangamite,VIC 
Iragie,Electorate,Grey,SA 
Newton Gardens,Electorate,Makin,SA 
Bovagh Estate,Electorate,Port Adelaide,SA 
Marble Hill,Electorate,Sturt,SA 
Darley,Electorate,Port Adelaide,SA 
Dry Creek,Electorate,Port Adelaide,SA 
Kooljerrenup,Electorate,Canning,WA 
Cross Keys,Electorate,Port Adelaide,SA 
Banksiadale,Electorate,Canning,WA 
Meelon,Electorate,Canning,WA 
Northfield East,Electorate,Port Adelaide,SA 
Oakden,Electorate,Port Adelaide,SA 
Paradise,Electorate,Makin,SA 
Yadnarie,Electorate,Grey,SA 
Newenham,Electorate,Makin,SA 
Thorndon Park,Electorate,Makin,SA 
DUNKELD,Electorate,Wannon,VIC 
CARLISLE RIVER,Electorate,Wannon,VIC 
Cavan,Electorate,Port Adelaide,SA 
CLEVE,Electorate,Grey,GA 
AIRE VALLEY,Electorate,Corangamite,VIC 
Harveytown,Electorate,Franklin,TAS 
Wolseley,Electorate,Barker,SA 
Tatiara,Electorate,Barker,SA 
Wolseley,Electorate,Barker,SA 
Bowman Road,Electorate,Grey,AHO 
Cleve,Electorate,Grey,SA 
Cleve,Electorate,Grey,SA 
Hay Valley,Electorate,Mayo,SA 
Paradise Park,Electorate,Makin,SA 
Beulah,Electorate,Makin,SA 
Jelcobine,Electorate,O'Connor,WA 
TESBURY,Electorate,Wannon,VIC 
Cane Avenue,Electorate,Grey,AHO 
Tyenna,Electorate,Lyons,TAS 
O'Neill Park,Electorate,Port Adelaide,SA 
GLENTHOMPSON,Electorate,Wannon,VIC 
KANMANTOO,Electorate,Mayo,GA 
KILLALA,Electorate,Corangamite,VIC 
MARENGO,Electorate,Corangamite,VIC 
Kanmantoo,Electorate,Mayo,SA 
Maitland Road,Electorate,Grey,AHO 
Yalyul,Electorate,O'Connor,WA 
Beefacres Estate,Electorate,Port Adelaide,SA 
Wogarl,Electorate,O'Connor,WA 
ROCKLANDS,Electorate,Wannon,VIC 
GLENORMISTON NORTH,Electorate,Wannon,VIC 
Beefacres,Electorate,Port Adelaide,SA 
Walkley Heights,Electorate,Port Adelaide,SA 
GNOTUK,Electorate,Wannon,VIC 
VICTORIA VALLEY,Electorate,Wannon,VIC 
Montumana,Electorate,Braddon,TAS 
Ardrossan,Electorate,Grey,AHO 
Ardrossan,Electorate,Grey,SA 
Ardrossan,Electorate,Grey,SA 
Ardrossan Extension,Electorate,Grey,SA 
Bickham Grange,Electorate,Port Adelaide,SA 
Second Street,Electorate,Grey,AHO 
Strathmont,Electorate,Port Adelaide,SA 
Dernancourt,Electorate,Port Adelaide,SA 
Gilles Plains,Electorate,Port Adelaide,SA 
GEEVESTON,Electorate,Franklin,GA 
Levels Estate,Electorate,Port Adelaide,SA 
Learys Corner,Electorate,Lyons,TAS 
Fifth Street,Electorate,Grey,AHO 
East Terrace,Electorate,Grey,AHO 
TANDAROOK,Electorate,Wannon,VIC 
Pooraka,Electorate,Port Adelaide,SA 
Ki Ki,Electorate,Barker,SA 
Ki Ki,Electorate,Barker,SA 
Windsor Downs,Electorate,Port Adelaide,SA 
Balmoral,Electorate,Port Adelaide,SA 
Cherryville,Electorate,Sturt,SA 
Nantuma,Electorate,Grey,SA 
ARDROSSAN,Electorate,Grey,GA 
Marengo,Electorate,Corangamite,AHO 
Dover,Electorate,Franklin,TAS 
Lowan Vale,Electorate,Barker,SA 
Montacute,Electorate,Makin,SA 
Wamenusking,Electorate,O'Connor,WA 
Holden Hill,Electorate,Port Adelaide,SA 
DOVER,Electorate,Franklin,GA 
Dover,Electorate,Franklin,AHO 
Baymor Park,Electorate,Port Adelaide,SA 
Wayatinah,Electorate,Lyons,TAS 
BUNGADOR,Electorate,Wannon,VIC 
Cairns Bay,Electorate,Franklin,TAS 
Bedford,Electorate,Barker,SA 
CARPENDEIT,Electorate,Wannon,VIC 
Athelstone,Electorate,Makin,SA 
Lonnavale,Electorate,Franklin,TAS 
FERGUSON,Electorate,Corangamite,VIC 
Technology Park,Electorate,Port Adelaide,SA 
Tarraleah,Electorate,Lyons,TAS 
Valley View,Electorate,Port Adelaide,SA 
Forest Range,Electorate,Mayo,SA 
Mawson Lakes,Electorate,Port Adelaide,SA 
The Levels,Electorate,Port Adelaide,SA 
Montague Farm,Electorate,Port Adelaide,SA 
Horizontal Corner,Electorate,Lyons,TAS 
Petersville,Electorate,Grey,SA 
BANOOL,Electorate,Corangamite,VIC 
Mangalo,Electorate,Grey,SA 
Montacute Heights,Electorate,Sturt,SA 
Placid Estates,Electorate,Barker,SA 
Ingle Farm,Electorate,Port Adelaide,SA 
Herron,Electorate,Canning,WA 
Monarto South,Electorate,Barker,SA 
Kermandie,Electorate,Franklin,AHO 
Hambidge,Electorate,Grey,SA 
Greater Levels,Electorate,Port Adelaide,SA 
Lapoinya,Electorate,Braddon,TAS 
Lindisfarne,Electorate,Port Adelaide,SA 
Manxtown,Electorate,Mayo,SA 
Durham,Electorate,Port Adelaide,SA 
Durham Village,Electorate,Port Adelaide,SA 
Waterloo,Electorate,Franklin,AHO 
Heysen Park,Electorate,Port Adelaide,SA 
South Quairading,Electorate,O'Connor,WA 
Brukunga,Electorate,Mayo,SA 
Chitterberrin,Electorate,O'Connor,WA 
Waterloo,Electorate,Franklin,TAS 
APOLLO BAY,Electorate,Corangamite,VIC 
Middlesex,Electorate,Braddon,TAS 
WOOHLPOOER,Electorate,Wannon,VIC 
WOOHLPOOEL,Electorate,Wannon,VIC 
Globe Derby Park,Electorate,Port Adelaide,SA 
Tewkesbury,Electorate,Braddon,TAS 
Inverbrackie,Electorate,Mayo,SA 
Green Fields,Electorate,Port Adelaide,SA 
Glendevie,Electorate,Franklin,TAS 
Arcadian Home,Electorate,Lyons,TAS 
APOLLO BAY,Electorate,Corangamite,GA 
Apollo Bay,Electorate,Corangamite,AHO 
Surges Bay,Electorate,Franklin,TAS 
CAMPERDOWN,Electorate,Wannon,VIC 
Forest Range Closer Settlement Estate,Electorate,Mayo,SA 
Wamenusking,Electorate,O'Connor,WA 
CHATSWORTH,Electorate,Wannon,VIC 
Cramphorne,Electorate,O'Connor,WA 
Para Vista,Electorate,Port Adelaide,SA 
Henrietta,Electorate,Braddon,TAS 
Carcuma,Electorate,Barker,SA 
CAMPERDOWN,Electorate,Wannon,GA 
Wattle Park,Electorate,Braddon,TAS 
WOODSIDE,Electorate,Mayo,GA 
Tavistock,Electorate,Mayo,SA 
Woodside,Electorate,Mayo,SA 
Myalla,Electorate,Braddon,TAS 
Rathmines,Electorate,Port Adelaide,SA 
Carpa,Electorate,Grey,SA 
Clovercrest,Electorate,Port Adelaide,SA 
NARRAPUMELAP SOUTH,Electorate,Wannon,VIC 
West Woodside,Electorate,Mayo,SA 
CHARLEYS CREEK,Electorate,Corangamite,VIC 
Poonana,Electorate,Grey,SA 
Coodarin,Electorate,O'Connor,WA 
Hope Valley,Electorate,Makin,SA 
Calder,Electorate,Braddon,TAS 
Liapootah,Electorate,Lyons,TAS 
Gifford Hill,Electorate,Barker,SA 
Highbury,Electorate,Makin,SA 
BROOKSBYS,Electorate,Mallee,VIC 
BROOKSBY,Electorate,Mallee,VIC 
Elliston,Electorate,Port Adelaide,SA 
Woodside West,Electorate,Mayo,SA 
Coomandook,Electorate,Barker,SA 
Bolivar,Electorate,Port Adelaide,SA 
Sisters Creek,Electorate,Braddon,TAS 
Port Huon,Electorate,Franklin,TAS 
Cooke Plains,Electorate,Barker,SA 
Weetulta,Electorate,Grey,SA 
Modbury,Electorate,Port Adelaide,SA 
Blythewood,Electorate,Canning,WA 
Yumali,Electorate,Barker,SA 
Teatree Glen Corner,Electorate,Grey,SA 
Woodside East,Electorate,Mayo,SA 
Hampshire,Electorate,Braddon,TAS 
Konanda,Electorate,Grey,SA 
Tiddy Widdy Beach,Electorate,Grey,SA 
Lenswood,Electorate,Mayo,SA 
Woodside Extension,Electorate,Mayo,SA 
SKIBO,Electorate,Wannon,VIC 
St Kilda,Electorate,Port Adelaide,AHO 
Para Hills,Electorate,Port Adelaide,SA 
St Kilda,Electorate,Port Adelaide,SA 
Kuender,Electorate,O'Connor,WA 
Parafield,Electorate,Port Adelaide,SA 
Serviceton,Electorate,Barker,SA 
Para Hills West,Electorate,Port Adelaide,SA 
Crossville Corner,Electorate,Grey,SA 
Whichelby,Electorate,Grey,SA 
Modbury North,Electorate,Port Adelaide,SA 
Parafield Gardens,Electorate,Port Adelaide,SA 
St Kilda,Electorate,Port Adelaide,SA 
Oakley,Electorate,Canning,WA 
General Corner,Electorate,Barker,SA 
Port Gibbon,Electorate,Grey,AHO 
Port Gibbon,Electorate,Grey,SA 
Port Gibbon,Electorate,Grey,SA 
Port Huon,Electorate,Franklin,AHO 
Castambul,Electorate,Makin,SA 
Ardtornish,Electorate,Wakefield,SA 
National Park,Electorate,Lyons,TAS 
Castambul Closer Settlement Estate,Electorate,Makin,SA 
Reefton Heights,Electorate,Mayo,SA 
Reefton,Electorate,Mayo,SA 
Cockabidnie Corner,Electorate,Grey,SA 
Sherwood,Electorate,Barker,SA 
Stringybark,Electorate,Mayo,SA 
KOALLAH,Electorate,Wannon,VIC 
Brooks Bay,Electorate,Franklin,TAS 
North Woodside,Electorate,Mayo,SA 
Pine Lakes,Electorate,Port Adelaide,SA 
Oldina,Electorate,Braddon,TAS 
Warramboo,Electorate,Grey,SA 
Warramboo,Electorate,Grey,SA 
North Woodside Extension,Electorate,Mayo,SA 
DINMONT,Electorate,Corangamite,VIC 
West Neudorf,Electorate,Mayo,SA 
Blythewood,Electorate,Canning,WA 
White Hill,Electorate,Barker,SA 
West Mamburdi,Electorate,Mayo,SA 
Castle Forbes Bay,Electorate,Franklin,TAS 
St Agnes,Electorate,Makin,SA 
Yangalo,Electorate,Grey,SA 
BEECH FOREST,Electorate,Corangamite,VIC 
GLENTHOMPSON,Electorate,Wannon,VIC 
Pine Hill,Electorate,Barker,SA 
Petcheys Bay,Electorate,Franklin,TAS 
Pedare Hills,Electorate,Port Adelaide,SA 
Modbury Heights,Electorate,Port Adelaide,SA 
SERVICETON,Electorate,Mallee,VIC 
Lower Wattle Grove,Electorate,Franklin,TAS 
Pinjarra Park,Electorate,Canning,WA 
Bethune,Electorate,Lyons,TAS 
Walkers Flat,Electorate,Wakefield,SA 
Huntly,Electorate,Canning,WA 
PERONNE,Electorate,Mallee,VIC 
Mount Hampton,Electorate,O'Connor,WA 
Ridgehaven,Electorate,Wakefield,SA 
SISTERS BEACH,Electorate,Braddon,GA 
Lower Wattle Grove,Electorate,Franklin,AHO 
Salisbury Downs,Electorate,Port Adelaide,SA 
Monarto,Electorate,Barker,SA 
Murray New Town,Electorate,Barker,SA 
Vista,Electorate,Makin,SA 
Salisbury South,Electorate,Wakefield,SA 
Gulfview Heights,Electorate,Wakefield,SA 
Police Point,Electorate,Franklin,TAS 
Yolla,Electorate,Braddon,TAS 
Manor Farm,Electorate,Wakefield,SA 
White Sands,Electorate,Barker,SA 
Sisters Beach,Electorate,Braddon,AHO 
Cobbler Creek,Electorate,Wakefield,SA 
Manor Heights,Electorate,Wakefield,SA 
Moorleah,Electorate,Braddon,TAS 
IRREWILLIPE,Electorate,Wannon,VIC 
Wattle Grove,Electorate,Franklin,TAS 
Highercombe Estate,Electorate,Makin,SA 
Sisters Beach,Electorate,Braddon,TAS 
Murray Bridge South,Electorate,Barker,SA 
Paralowie,Electorate,Port Adelaide,SA 
Jervois,Electorate,Barker,SA 
Jervois,Electorate,Barker,SA 
WOORNDOO,Electorate,Wannon,VIC 
STONYFORD,Electorate,Wannon,VIC 
Pitchoram,Electorate,Barker,SA 
Highercombe,Electorate,Makin,SA 
Redwood Park,Electorate,Wakefield,SA 
SWAN MARSH,Electorate,Wannon,VIC 
Steventon Estate,Electorate,Makin,SA 
MIGA LAKE,Electorate,Mallee,VIC 
Wynn Vale,Electorate,Wakefield,SA 
Rolling Hills,Electorate,Wakefield,SA 
Waikato,Electorate,Mayo,SA 
WIMBA,Electorate,Corangamite,VIC 
Inkster Well,Electorate,Grey,SA 
South Tweedvale,Electorate,Mayo,SA 
South Lobethal,Electorate,Mayo,SA 
GOROKE,Electorate,Mallee,GA 
LILLIMUR,Electorate,Mallee,VIC 
Steventon,Electorate,Makin,SA 
Tea Tree Gully,Electorate,Makin,SA 
Brahma Lodge,Electorate,Wakefield,SA 
Rocky Gully,Electorate,Barker,SA 
Glaziers Bay,Electorate,Franklin,TAS 
Parkland Estate,Electorate,Barker,SA 
KRAMBRUK NORTH,Electorate,Corangamite,VIC 
Judbury,Electorate,Lyons,TAS 
Paracombe,Electorate,Makin,SA 
Wood Point,Electorate,Barker,SA 
Woods Point,Electorate,Barker,SA 
The Point,Electorate,Barker,SA 
Woods Point,Electorate,Barker,SA 
Lobethal,Electorate,Mayo,SA 
Tweedvale,Electorate,Mayo,SA 
LOBETHAL,Electorate,Mayo,GA 
DOUGLAS,Electorate,Mallee,VIC 
Piednippie,Electorate,Grey,SA 
STONYFORD,Electorate,Wannon,VIC 
Mamburdi,Electorate,Mayo,SA 
Neudorf,Electorate,Mayo,SA 
LEEOR,Electorate,Mallee,VIC 
New Salisbury,Electorate,Wakefield,SA 
Salisbury,Electorate,Wakefield,SA 
Tobalong,Electorate,Barker,SA 
Burton,Electorate,Port Adelaide,SA 
Skenes Creek,Electorate,Corangamite,AHO 
Surrey Farm,Electorate,Wakefield,SA 
Arthurton,Electorate,Grey,SA 
Arthurton,Electorate,Grey,SA 
Kalkabury,Electorate,Grey,SA 
Riverglen,Electorate,Barker,SA 
Salisbury East,Electorate,Wakefield,SA 
Charleston,Electorate,Mayo,SA 
Charlestown,Electorate,Mayo,SA 
CHARLESTON,Electorate,Mayo,GA 
Milner,Electorate,Wakefield,SA 
Buckland Park,Electorate,Wakefield,SA 
Loongana,Electorate,Braddon,TAS 
Ellendale,Electorate,Lyons,TAS 
Maryland,Electorate,Wakefield,SA 
Kinchina,Electorate,Barker,SA 
OLANGOLAH,Electorate,Corangamite,VIC 
OLANGALAH,Electorate,Corangamite,VIC 
Bally Bally,Electorate,Pearce,WA 
STRACHANS,Electorate,Wannon,VIC 
STRACHAN,Electorate,Wannon,VIC 
South Franklin,Electorate,Franklin,TAS 
HYNES,Electorate,Mallee,VIC 
Waterloo Corner,Electorate,Port Adelaide,SA 
Paracombe Closer Settlement Estate,Electorate,Makin,SA 
HOUGHTON,Electorate,Makin,GA 
Black Bobs,Electorate,Lyons,TAS 
Houghton,Electorate,Makin,SA 
Surrey Downs,Electorate,Wakefield,SA 
Salisbury Plain,Electorate,Wakefield,SA 
Salisbury Home Park,Electorate,Wakefield,SA 
Tabor Valley,Electorate,Mayo,SA 
Makin,Electorate,Barker,SA 
Smedleyville,Electorate,Barker,SA 
Salisbury North,Electorate,Wakefield,SA 
Monteith,Electorate,Barker,SA 
Monteith,Electorate,Barker,SA 
East Lobethal,Electorate,Mayo,SA 
East Tweedvale,Electorate,Mayo,SA 
Solus,Electorate,Canning,WA 
Windemere Estate,Electorate,Wakefield,SA 
Windemere,Electorate,Wakefield,SA 
PINJARRA,Electorate,Canning,GA 
Banksia Park,Electorate,Makin,SA 
South Mobilong,Electorate,Barker,SA 
Murray Bridge Estate,Electorate,Barker,SA 
Bradys Lake,Electorate,Lyons,TAS 
Pinjarra,Electorate,Canning,AHO 
Pinjarra,Electorate,Canning,WA 
Prairie,Electorate,Mayo,SA 
Tailem Bend,Electorate,Barker,SA 
Tailem Bend,Electorate,Barker,SA 
WOORNDOO UPPER,Electorate,Wannon,VIC 
Esmond Park,Electorate,Barker,SA 
Tailem Bend East,Electorate,Barker,SA 
SKENES CREEK,Electorate,Corangamite,VIC 
Schoenthal,Electorate,Mayo,SA 
Boongala,Electorate,Mayo,SA 
Mason,Electorate,Barker,SA 
POMBORNEIT,Electorate,Wannon,VIC 
JILPANGER,Electorate,Mallee,VIC 
TOOLONDO,Electorate,Mallee,VIC 
TAILEM BEND,Electorate,Barker,GA 
Murray Gardens,Electorate,Barker,SA 
Hawklea,Electorate,Barker,SA 
Westland,Electorate,Barker,SA 
Fairview Park,Electorate,Wakefield,SA 
Tailem Bend North,Electorate,Barker,SA 
Highclere,Electorate,Braddon,TAS 
Glen Huon,Electorate,Franklin,TAS 
Edinburgh Park,Electorate,Wakefield,SA 
South Murray Bridge,Electorate,Barker,SA 
Wallarano Vale,Electorate,Wakefield,SA 
Port Gawler,Electorate,Wakefield,SA 
Lymington,Electorate,Franklin,TAS 
BOOKAAR,Electorate,Wannon,VIC 
Darke Peak,Electorate,Grey,SA 
Carappee,Electorate,Grey,SA 
Darke Peak,Electorate,Grey,SA 
Hornsey Park,Electorate,Barker,SA 
Inglewood,Electorate,Makin,SA 
Riverdene,Electorate,Barker,SA 
Connolly,Electorate,O'Connor,WA 
North East Ward  Murray Pg,Electorate,Canning,WA 
Totness Park,Electorate,Barker,SA 
Murray Park,Electorate,Barker,SA 
Lymington,Electorate,Franklin,AHO 
Pinjarra,Electorate,Canning,WA 
CHOCOLYN,Electorate,Wannon,VIC 
Carisbrooke Estate,Electorate,Wakefield,SA 
Salisbury Park,Electorate,Wakefield,SA 
Rundleville,Electorate,Barker,SA 
Mulkeerembel,Electorate,Barker,SA 
Thompsons Crossing,Electorate,Barker,SA 
Swanport,Electorate,Barker,SA 
Thomsons Landing,Electorate,Barker,SA 
Kerkanya,Electorate,Barker,SA 
Jaencshtown,Electorate,Barker,SA 
Jaenschtown,Electorate,Barker,SA 
South Quairading,Electorate,O'Connor,WA 
Direk,Electorate,Wakefield,SA 
Riverview,Electorate,Barker,SA 
Kerkanya West,Electorate,Barker,SA 
Jaenschton West,Electorate,Barker,SA 
OLANGOLAH EAST,Electorate,Corangamite,VIC 
Pinjarra Kingdom Hall,Electorate,Canning,WA 
LILLIMUR SOUTH,Electorate,Mallee,VIC 
River View,Electorate,Barker,SA 
Ruglea Park,Electorate,Barker,SA 
TOMAHAWK CREEK,Electorate,Wannon,VIC 
BORNES HILL,Electorate,Wannon,VIC 
Westbrook,Electorate,Barker,SA 
Middle Beach,Electorate,Wakefield,SA 
MURCHS CORNER,Electorate,Wannon,VIC 
Bondleigh,Electorate,Barker,SA 
Slade Park,Electorate,Barker,SA 
Spring Hill,Electorate,Wakefield,SA 
Laneville,Electorate,Barker,SA 
Dowlingville,Electorate,Grey,SA 
Glen View West,Electorate,Barker,SA 
Dunoon Park,Electorate,Barker,SA 
Fentonbury,Electorate,Lyons,TAS 
Ritterville,Electorate,Barker,SA 
Pine Park,Electorate,Barker,SA 
FRANKLIN,Electorate,Franklin,GA 
Whittaker,Electorate,Canning,WA 
PETTICOAT CREEK,Electorate,Corangamite,VIC 
Elbow Hill,Electorate,Grey,SA 
Yatala Vale,Electorate,Wakefield,SA 
Lower Hermitage,Electorate,Makin,SA 
Bridgeport,Electorate,Barker,SA 
Myrleville,Electorate,Barker,SA 
Sladden Town,Electorate,Barker,SA 
The Gorge,Electorate,Mayo,SA 
Daisy Dell,Electorate,Braddon,TAS 
Salisbury Heights,Electorate,Wakefield,SA 
Murray Bridge Extension,Electorate,Barker,SA 
West Ridgley,Electorate,Braddon,TAS 
Long Island,Electorate,Barker,SA 
Glenview,Electorate,Barker,SA 
Butcher Estate,Electorate,O'Connor,WA 
Hermitage Estate,Electorate,Makin,SA 
Fairbridge,Electorate,Canning,WA 
Campoona,Electorate,Grey,SA 
MURRAY BRIDGE,Electorate,Barker,GA 
Swanport Gardens,Electorate,Barker,SA 
SKENES CREEK NORTH,Electorate,Corangamite,VIC 
Franklin,Electorate,Franklin,TAS 
Elizabeth South,Electorate,Wakefield,SA 
Elizabeth Vale,Electorate,Wakefield,SA 
Westerway,Electorate,Lyons,TAS 
Murray Bridge,Electorate,Barker,SA 
Mobilong,Electorate,Barker,SA 
Murray Bridge,Electorate,Barker,SA 
Golden Grove,Electorate,Wakefield,SA 
Eggs and Bacon Bay,Electorate,Franklin,TAS 
Cudlee Creek,Electorate,Mayo,SA 
Abels Bay,Electorate,Franklin,TAS 
Buckland Park,Electorate,Wakefield,SA 
Marlborough,Electorate,Lyons,TAS 
Cleveland Mill,Electorate,Lyons,TAS 
TELANGATUK EAST,Electorate,Mallee,VIC 
Elwomple,Electorate,Barker,SA 
Harrowgate,Electorate,Mayo,SA 
